participant_id,completed_both,crossover_order,first_session_is_high_tempo,audio_s1,audio_s2,plank_s1,plank_s2,plank_high_tempo,plank_low_tempo,diff_high_minus_low,elapsed_sessions_hours,participant_age,participant_gender,participant_locale,participant_group_index,participant_group_label,participant_sessions_completed,participant_registered_at,participant_session1_planned_at,participant_session2_planned_at,post_comments_present_s1,post_comments_present_s2,post_form_quality_s1,post_form_quality_s2,post_headphones_s1,post_headphones_s2,post_instructions_ease_s2,post_music_effect_overall_s2,post_music_effect_s1,post_overall_experience_s2,post_plank_pause_detail_present_s1,post_plank_pause_detail_present_s2,post_plank_pause_s1,post_plank_pause_s2,post_rpe_s1,post_rpe_s2,post_volume_clear_s1,post_volume_clear_s2,pre_activity_level_s1,pre_activity_type_s1,pre_energy_pre_plank_s1,pre_energy_pre_plank_s2,pre_motivation_pre_plank_s1,pre_motivation_pre_plank_s2,pre_music_liking_s1,pre_music_liking_s2,pre_plank_frequency_s1
7633ddb3-fd2b-40e6-b51d-2bb1ac6f7781,1,low_tempo_first,0,low_tempo,high_tempo,119.96,145.059,145.059,119.96,25.099,38.4633069444365,31,female,en,0,poptrance,2,2026-04-01T08:29:54.803Z,2026-04-01T18:00:00Z,2026-04-02T18:16:00Z,1,0,3,3,0,1,4,3,,3,,1,0,1,5,6,1,1,4,23,4,4,5,5,3,4,2
77ffd22e-92aa-4245-b891-12b62246f50f,1,low_tempo_first,0,low_tempo,high_tempo,161.86,227.864,227.864,161.86,66.004,33.6568769445022,45,male,en,0,poptrance,2,2026-03-30T11:26:50.364Z,2026-03-30T11:26:00Z,2026-04-06T16:30:00Z,,,3,3,1,1,5,4,,5,,,0,0,8,9,1,1,4,34,4,6,4,6,2,5,1
8003d192-6e50-45ea-8340-c08dcb0bbb0d,0,low_tempo_first,0,low_tempo,,124.091,,,124.091,,,30,female,en,0,poptrance,1,2026-03-30T23:53:54.204Z,2026-04-01T18:30:00Z,2026-04-05T18:30:00Z,,,3,,0,,,,,,,,0,,7,,1,,4,17,4,,4,,4,,2
80e46ec5-b5e2-45fb-b38f-4538e844a5d7,1,high_tempo_first,1,high_tempo,low_tempo,73.088,73.984,73.088,73.984,-0.896000000000001,90.1837272222175,45,male,es,1,trancepop,2,2026-04-06T15:57:20.502Z,2026-04-06T16:00:00Z,2026-04-08T16:00:00Z,,,3,3,0,0,5,3,,5,,,0,0,6,3,1,1,2,9,6,5,6,5,6,6,2
81377784-e22b-4e0b-9873-7dd27f7c74a8,1,low_tempo_first,0,low_tempo,high_tempo,61.765,63.906,63.906,61.765,2.141,49.028111388882,29,female,en,0,poptrance,2,2026-03-28T04:35:48.256Z,2026-03-28T04:35:00Z,2026-03-30T04:38:00Z,,,3,3,1,1,4,3,,5,,,0,0,7,8,2,1,4,24,4,4,5,5,5,5,1
8976df89-d963-4dc0-aae7-6d84a164b8f5,1,low_tempo_first,0,low_tempo,high_tempo,53.198,82.328,82.328,53.198,29.13,48.1101536111037,44,male,en,0,poptrance,2,2026-03-29T16:20:29.418Z,2026-03-31T16:20:00Z,2026-04-03T00:50:00Z,,,4,3,0,0,5,5,,4,,,0,0,5,5,1,1,2,31,5,4,4,5,5,6,1
93e6c886-e9bc-4c75-b410-b80200de635c,0,high_tempo_first,1,high_tempo,,90.787,,90.787,,,,29,male,es,1,trancepop,2,2026-04-08T14:38:58.027Z,2026-04-08T18:30:00Z,2026-04-11T00:10:00Z,,,3,,0,,,,,,,,0,,6,,1,,1,,4,,5,,3,,1
a4a92d77-9185-4b68-b172-8e05c55888c2,1,low_tempo_first,0,low_tempo,high_tempo,142.15,67.179,67.179,142.15,-74.971,24.5041797222694,44,male,es,0,poptrance,2,2026-03-30T01:55:33.902Z,2026-03-30T02:53:00Z,2026-03-31T02:20:00Z,,,3,3,0,0,5,2,,5,,,0,0,10,10,1,1,4,3,4,4,4,4,4,6,1
a8d4043f-f539-4e18-8e48-3ada635703ae,1,high_tempo_first,1,high_tempo,low_tempo,104.336,30.395,104.336,30.395,73.941,73.7832516666916,28,male,en,1,trancepop,2,2026-03-30T02:15:09.950Z,2026-03-31T02:00:00Z,2026-04-02T02:12:00Z,,,1,4,0,0,3,3,,4,,,0,0,8,7,1,1,1,,4,3,6,5,5,5,1
abc0f1a2-4866-49d2-9008-558d467329ff,1,low_tempo_first,0,low_tempo,high_tempo,48.342,54.368,54.368,48.342,6.026,26.0387561110655,59,male,en,0,poptrance,2,2026-03-30T02:06:14.066Z,2026-03-30T02:15:00Z,2026-03-31T02:48:00Z,,,3,3,0,0,3,4,,4,,,0,0,7,6,1,1,1,,3,6,4,7,5,5,1
